total_activities,private_talks,group_talks,cluster
447,1,1,3
442,2,5,3
442,10,33,5
442,1,5,3
441,1,2,3
440,4,4,3
440,2,14,3
440,1,22,3
436,7,2,3
434,2,4,3
434,9,3,3
432,1,2,3
432,1,2,3
431,6,20,3
428,2,29,3
427,1,6,3
426,1,1,3
425,9,3,3
424,6,53,5
424,1,21,3
424,6,5,3
423,1,6,3
423,1,7,3
423,5,15,3
422,7,1,3
421,13,2,3
421,5,4,3
420,1,1,3
416,17,9,4
414,6,22,3
414,21,18,4
413,2,10,3
413,39,126,5
412,1,77,5
410,4,11,3
407,6,20,3
405,2,13,3
405,4,2,3
400,3,2,3
399,2,8,3
399,1,8,3
397,4,22,3
395,5,4,3
387,4,15,3
387,1,9,3
387,1,3,3
385,1,4,3
384,1,3,3
383,6,27,3
383,3,2,3
383,1,3,3
383,13,57,5
381,1,8,3
380,1,10,3
380,9,3,3
379,1,15,3
378,8,16,5
377,5,23,3
376,1,1,3
376,5,11,3
375,1,1,3
373,8,41,5
372,3,33,3
372,1,26,3
371,2,5,3
370,3,2,3
370,5,26,3
368,20,11,4
367,1,32,3
366,2,6,3
366,4,1,3
363,7,30,5
363,14,27,5
363,2,5,3
361,2,2,3
360,1,12,3
359,2,1,3
359,2,29,3
357,1,4,3
357,5,17,3
356,3,4,3
355,1,1,3
355,1,13,3
355,4,4,3
352,1,3,3
352,6,12,3
352,2,5,3
351,1,2,3
351,12,4,3
351,4,20,3
351,9,3,3
350,2,12,3
350,1,8,3
349,4,1,3
348,3,7,3
346,8,2,3
346,3,9,3
345,2,2,3
345,10,27,5
342,1,5,3
342,3,9,3
340,6,9,3
340,5,13,3
340,3,2,3
339,6,54,5
339,2,4,3
336,2,40,3
336,4,19,3
336,15,1,3
334,3,21,3
331,10,24,5
330,2,12,3
325,1,2,2
324,4,49,5
324,6,4,3
323,6,1,3
322,1,1,2
320,10,18,5
320,2,3,3
320,3,4,3
319,1,6,3
318,2,18,3
316,2,12,3
316,1,1,2
316,3,20,3
315,1,3,2
315,8,6,3
315,6,2,3
312,1,2,2
312,4,4,3
312,1,1,2
312,2,5,3
308,5,16,3
304,1,1,2
304,2,11,3
304,4,1,3
299,3,11,3
297,3,1,3
297,1,20,3
296,2,20,3
296,1,1,2
296,4,4,3
296,9,37,5
294,9,10,3
294,1,1,2
293,3,9,3
293,6,10,3
290,5,10,3
290,1,10,3
290,1,2,2
290,1,3,2
289,8,4,3
289,1,1,2
289,1,3,2
288,1,1,2
288,3,23,2
288,7,29,5
288,1,21,3
287,2,10,3
286,6,11,3
283,5,12,3
282,3,25,2
280,3,1,3
278,1,3,2
278,2,15,3
278,4,5,3
276,3,26,2
276,4,6,3
276,1,23,3
276,2,1,2
276,1,1,2
276,2,2,2
272,1,1,2
272,1,3,2
270,1,14,3
270,9,4,3
270,4,2,3
268,3,16,3
267,5,14,3
266,1,11,3
266,1,1,2
266,7,1,3
265,3,13,3
265,1,15,3
264,2,12,3
263,2,8,3
263,1,8,2
262,4,7,3
261,1,8,2
261,3,2,2
261,1,2,2
261,3,2,2
260,1,7,2
260,4,31,2
260,2,3,2
259,1,65,5
259,1,7,2
259,1,6,2
258,2,26,2
258,1,7,2
258,1,1,2
257,4,8,3
257,3,10,3
256,1,15,3
256,1,1,2
256,2,2,2
255,3,9,3
255,5,19,3
253,5,9,2
252,1,3,2
251,8,10,3
251,6,17,3
251,1,1,2
250,1,6,2
249,1,28,2
249,2,1,2
247,2,20,2
247,2,4,2
246,1,5,2
246,4,13,3
245,11,1,3
243,3,7,2
243,3,6,2
243,1,12,3
242,3,1,2
238,3,2,2
238,5,15,3
237,2,3,2
234,1,9,2
234,1,28,2
234,2,4,2
234,2,30,2
233,3,5,2
233,1,4,2
233,4,22,2
232,1,2,2
231,7,40,5
231,1,4,2
230,1,4,2
229,5,7,2
229,2,4,2
228,1,3,2
227,3,12,2
226,2,13,3
226,1,22,2
225,3,5,2
225,2,16,3
224,1,6,2
224,2,4,2
224,1,1,2
224,3,24,2
223,1,20,2
223,1,1,2
219,7,26,2
219,1,20,2
217,1,14,3
217,4,56,5
217,3,27,2
216,3,10,2
215,1,5,2
215,2,6,2
214,1,5,2
213,2,1,2
213,3,22,2
212,1,19,2
211,5,3,2
210,1,9,2
209,1,4,2
207,1,3,2
207,2,31,2
206,1,2,2
206,6,7,2
204,1,3,2
204,2,11,2
204,1,15,3
204,4,10,2
203,2,5,2
200,6,5,2
200,3,8,2
200,13,39,5
200,10,14,4
198,3,4,2
198,3,2,2
198,4,2,2
197,2,1,2
197,2,3,2
196,6,9,2
196,1,2,2
194,3,12,2
194,6,3,2
193,1,5,2
193,2,21,2
192,4,22,2
192,2,5,2
192,2,20,2
191,1,2,2
190,8,15,4
190,1,1,2
190,1,6,2
189,1,1,2
187,1,4,2
187,1,2,2
186,2,2,2
186,2,10,2
184,5,19,2
184,1,4,2
184,1,30,2
182,2,6,2
181,1,3,2
180,3,6,2
180,1,1,2
180,4,4,2
180,1,1,2
179,2,11,2
179,4,22,2
179,3,1,2
177,1,15,2
176,5,4,2
175,5,1,2
175,1,7,2
174,5,7,2
174,3,7,2
173,6,31,2
173,7,2,2
173,2,5,2
172,3,32,2
171,9,10,4
171,4,13,2
170,1,5,2
168,3,24,2
168,2,21,2
168,2,3,2
168,2,4,2
167,1,3,2
166,3,17,2
165,4,5,2
165,1,1,2
163,1,3,2
163,1,17,2
162,9,3,4
161,1,12,2
161,1,11,2
158,1,1,2
156,2,16,2
156,2,23,2
156,1,1,2
156,1,6,2
155,4,13,2
154,2,2,2
154,3,5,2
153,2,6,2
153,1,2,2
152,2,2,2
150,1,5,2
150,6,12,2
150,1,8,2
150,1,7,2
149,1,1,2
149,1,7,2
147,5,2,2
146,3,6,2
144,1,6,2
143,2,5,2
142,3,4,2
141,1,6,2
138,1,9,2
136,4,7,1
136,2,5,2
135,3,7,2
135,3,13,2
135,1,2,1
135,2,1,1
133,9,4,4
133,1,4,2
132,1,1,1
132,4,33,2
131,1,5,2
131,1,3,2
129,4,8,1
128,1,1,1
127,1,15,2
126,3,1,1
124,2,1,1
121,1,2,1
121,2,4,1
120,13,3,4
120,4,11,2
117,2,9,2
117,1,1,1
116,4,6,1
115,1,12,2
112,1,2,1
112,1,1,1
112,10,1,4
111,22,3,4
110,9,2,4
109,1,6,2
108,3,9,2
108,5,13,2
108,1,12,2
106,7,3,4
105,2,1,1
104,5,12,2
104,1,3,1
102,1,4,1
100,3,4,1
100,2,3,1
100,15,6,4
100,11,18,4
99,3,1,1
97,2,10,2
96,2,1,1
95,3,17,2
93,1,2,1
92,12,3,4
92,1,18,2
92,5,23,2
92,1,15,2
90,1,4,1
88,1,1,1
88,4,3,1
88,5,24,2
84,1,4,1
84,1,3,1
84,2,1,1
84,1,1,1
83,1,21,2
83,4,8,1
80,12,5,4
80,1,2,1
80,2,2,1
80,11,4,4
80,1,2,1
78,1,4,1
78,1,2,1
78,8,2,4
78,10,4,4
77,2,5,1
75,2,1,1
75,1,2,1
74,2,5,1
74,2,15,2
73,1,1,1
72,6,40,2
72,24,7,4
72,5,2,1
70,9,2,4
70,1,2,1
70,8,2,4
70,1,1,1
70,2,7,1
69,10,1,4
68,8,2,4
66,13,24,4
66,1,2,1
66,14,1,4
65,2,1,1
65,2,10,2
64,2,1,1
64,3,6,1
63,2,6,1
63,1,7,1
62,1,1,1
61,2,1,1
60,2,2,1
60,13,10,4
60,1,2,1
59,17,26,4
58,7,29,2
57,1,1,1
56,1,6,1
56,2,2,1
56,1,1,1
56,3,2,1
56,1,2,1
55,2,7,1
54,1,1,1
52,3,1,1
52,3,3,1
52,2,4,1
52,1,1,1
51,1,1,1
51,10,5,4
50,9,18,4
50,15,21,4
50,1,4,1
48,1,1,1
48,1,8,1
48,1,4,1
48,1,1,1
45,25,3,4
45,1,3,1
45,2,7,1
44,2,29,2
44,1,1,1
44,1,1,1
44,5,4,1
44,14,6,4
42,1,2,1
42,1,1,1
42,1,1,1
42,3,7,1
42,1,5,1
42,3,2,1
41,1,6,1
41,1,2,1
40,3,1,1
40,1,2,1
40,1,2,1
39,2,1,1
39,1,1,1
39,1,8,1
39,1,1,1
38,7,9,4
38,2,2,1
37,19,9,4
37,1,1,1
36,1,2,1
36,1,1,1
36,1,2,1
36,1,3,1
36,1,11,1
36,3,1,1
35,2,1,1
35,1,2,1
35,1,7,1
34,3,2,1
34,2,7,1
34,10,4,4
34,2,1,1
34,3,3,1
34,1,2,1
33,4,9,1
33,2,3,1
33,1,1,1
33,2,1,1
33,1,2,1
33,3,1,1
33,1,1,1
32,5,1,1
32,1,2,1
30,3,1,1
30,2,5,1
30,3,3,1
30,1,12,1
29,1,5,1
28,4,4,1
28,2,2,1
28,3,1,1
28,1,2,1
28,2,1,1
28,1,8,1
27,1,2,1
27,9,3,4
27,1,5,1
27,1,2,1
27,1,1,1
26,3,2,1
26,2,5,1
26,5,11,1
25,8,9,4
25,1,23,2
25,3,10,1
25,1,6,1
25,1,9,1
